date,output,investment,consumption,hours_worked,unemployment,labor_share,interest,inflation,productivity,TFP
1961-01-01,974.0144754339955,1283.5722362863662,1372.169382241671,1749.9971634837461,6.8,473.07097286830617,0.500825,0.216,355.8856186531016,10.887500000000003
1961-04-01,975.475549873573,1288.5892409295923,1372.8813895083326,1749.9539422447237,7,471.44818854282295,0.433325,0.244,358.7012827710366,11.625000000000004
1961-07-01,976.7094927630574,1293.6780508308002,1372.790809722815,1748.7424039008943,6.7667,470.7501117085553,0.420825,0.26,360.07310673372314,12.087500000000004
1961-10-01,978.290058954701,1296.0954419894956,1373.7983084435602,1749.3092234110345,6.2,470.4979321207582,0.6,0.327,361.00256227801094,11.335000000000003
1962-01-01,979.7182146165196,1299.5855263715878,1374.263992767958,1749.6115955519208,5.6333,469.97437309071836,0.614175,0.517,362.6525212366961,12.242500000000003
1962-04-01,980.4385191492918,1298.6597031989525,1374.98429730073,1750.165517700843,5.5333,470.44361676447204,0.651675,0.162,362.4874124138024,11.975000000000003
1962-07-01,981.0000709442663,1299.6353342605305,1375.7390858708102,1750.2430905875026,5.5667,469.73481929290807,0.711675,0.207,363.78229737889853,13.012500000000005
1962-10-01,980.9835996454673,1298.3714455392137,1376.4918491343267,1749.142923258388,5.5333,469.892461077838,0.730825,0.195,364.6258968277296,14.245000000000005
1963-01-01,981.7602813378958,1301.2185945678114,1376.4992962644396,1749.5482762854883,5.7667,470.0198507892392,0.741675,0.439,364.95667367283954,14.055000000000003
1963-04-01,982.7362162146636,1303.0108605084954,1376.7000334607756,1750.051695645329,5.7333,469.48372003160375,0.740825,0.166,365.9656595437033,14.277500000000003
1963-07-01,984.2834805324179,1304.963804895811,1378.05255575009,1749.9301675156037,5.5,468.4304789151819,0.8325,0.122,368.0721266412473,15.520000000000003
1963-10-01,984.6123235146557,1306.099103861722,1377.9907732356216,1749.9171232230558,5.5667,468.964919256603,0.863325,0.81,368.0696061305917,15.467500000000003
1964-01-01,986.4382832655368,1308.7250678793105,1379.4245756211844,1751.4504848145525,5.4667,467.7221043732075,0.865825,0.318,368.9604191428393,17.035000000000004
1964-04-01,987.3079890114702,1308.7947693585365,1380.8819422160163,1752.115052383483,5.2,467.84206477276837,0.8725,0.24,369.6376282540559,16.342500000000005
