horizon,median,pctl_84,pctl_16,variable,model
35,-0.02972175431578877,0.07262948875978367,-0.13115189143306133,hours_worked,bayesian_fd
36,-0.03727099401956596,0.06260676556913812,-0.13807727941351516,hours_worked,bayesian_fd
37,-0.044279500654592505,0.05507009646357285,-0.14703560809045085,hours_worked,bayesian_fd
38,-0.049851161583536176,0.04980693368245363,-0.15302143167337756,hours_worked,bayesian_fd
39,-0.05480066488606408,0.044595093560278944,-0.1573157655580171,hours_worked,bayesian_fd
40,-0.058567584820519145,0.039400042066770835,-0.16176963232752956,hours_worked,bayesian_fd
1,0.2457787347074185,0.2633754794344598,0.22789588850087292,unemployment,bayesian_fd
2,0.32247061942210065,0.3416483291692693,0.3053792139701722,unemployment,bayesian_fd
3,0.34522974721775423,0.36692142943001377,0.3223339947072093,unemployment,bayesian_fd
4,0.34724495301024916,0.37821271009567325,0.314161028088908,unemployment,bayesian_fd
5,0.3371287556987784,0.37707705867293084,0.29490321308570494,unemployment,bayesian_fd
6,0.31693314617729107,0.36653807244589026,0.26741554547812374,unemployment,bayesian_fd
7,0.2902206350149916,0.34761683996835996,0.23393804481051178,unemployment,bayesian_fd
8,0.25866805022508205,0.3204247013480339,0.19774666667443108,unemployment,bayesian_fd
9,0.22488477297751958,0.2895383788955039,0.16188419597923864,unemployment,bayesian_fd
10,0.18975569512099957,0.25464775342783275,0.1256755165540403,unemployment,bayesian_fd
11,0.1548898250890634,0.22251210631479185,0.08839457996402175,unemployment,bayesian_fd
12,0.12115179611546371,0.19006265061707497,0.05680124140432401,unemployment,bayesian_fd
13,0.08904260041166986,0.1576777440227357,0.02486903407734204,unemployment,bayesian_fd
14,0.06109299263628594,0.1297253259445434,-0.004326039908728132,unemployment,bayesian_fd
15,0.03432332986887994,0.10190792341148103,-0.028881707984790107,unemployment,bayesian_fd
16,0.011057689524983132,0.07756541537669212,-0.05365086940769388,unemployment,bayesian_fd
17,-0.008655572882377505,0.056513423668837846,-0.07195644697878127,unemployment,bayesian_fd
18,-0.02436639515265896,0.040098056791048095,-0.08626256381376632,unemployment,bayesian_fd
19,-0.036210245010879646,0.025058292186976822,-0.09630146031636838,unemployment,bayesian_fd
20,-0.04587662756627915,0.012546371159891124,-0.10784489292539658,unemployment,bayesian_fd
21,-0.05287884953967936,9.565490684736061e-4,-0.11354081347168896,unemployment,bayesian_fd
22,-0.058852205879020236,-0.006627409728403033,-0.11745237768771029,unemployment,bayesian_fd
23,-0.06257468984975073,-0.011584892309016501,-0.11648314434320792,unemployment,bayesian_fd
24,-0.06314653279935262,-0.014864271883114661,-0.11689384080027651,unemployment,bayesian_fd
25,-0.06195807742814963,-0.014757658244247239,-0.11492277024793285,unemployment,bayesian_fd
26,-0.059669204430749814,-0.013879736241118268,-0.11259413995803202,unemployment,bayesian_fd
27,-0.05664430338025651,-0.012918541905901599,-0.10809321770756355,unemployment,bayesian_fd
28,-0.053119203166000425,-0.01146904306334446,-0.10326260888992322,unemployment,bayesian_fd
29,-0.04847941717361472,-0.009367294139872915,-0.0978368768756791,unemployment,bayesian_fd
30,-0.043498162373109314,-0.005590590038501575,-0.09306277744039118,unemployment,bayesian_fd
31,-0.038955794406975004,-0.0022626097999059896,-0.08737183106654307,unemployment,bayesian_fd
32,-0.0349732031906987,0.0012149947919592467,-0.08023262921763145,unemployment,bayesian_fd
33,-0.030404038603771798,0.004969785179821899,-0.07417437076546145,unemployment,bayesian_fd
34,-0.02692472197014712,0.0068444352026061795,-0.06886685350480917,unemployment,bayesian_fd
35,-0.023104656771519343,0.008809076897772734,-0.06398980146499987,unemployment,bayesian_fd
36,-0.020021656835369904,0.011210976702551485,-0.05985499622673026,unemployment,bayesian_fd
37,-0.01644805763757865,0.012646085282239275,-0.05558033552945228,unemployment,bayesian_fd
38,-0.014041722475769064,0.013215906917666243,-0.05290473109146727,unemployment,bayesian_fd
39,-0.012494944676344424,0.015092162364323283,-0.049491294020866154,unemployment,bayesian_fd
40,-0.010512045418889048,0.01677003174126363,-0.04615166342160956,unemployment,bayesian_fd
1,0.3699661064013238,0.4569843783586116,0.2779294934142177,labor_share,bayesian_fd
2,0.21679289141388078,0.28854832883254145,0.13721273897665695,labor_share,bayesian_fd
3,0.11833394018494292,0.18203095794675667,0.04695417936809684,labor_share,bayesian_fd
4,0.02859587616168581,0.08875274018744211,-0.033948077000080304,labor_share,bayesian_fd
5,-0.04051411540867192,0.014888934772009083,-0.10068264921192174,labor_share,bayesian_fd
6,-0.09659679300155485,-0.0426286211680057,-0.15288718467499424,labor_share,bayesian_fd
7,-0.1382327002167824,-0.08270386572276667,-0.19213048355215379,labor_share,bayesian_fd
8,-0.1675801960751841,-0.11228882356460407,-0.22166965054966628,labor_share,bayesian_fd
9,-0.18477358892970028,-0.127710150066089,-0.24157547360167209,labor_share,bayesian_fd
10,-0.19186994383980893,-0.1336284487809682,-0.2520444983425748,labor_share,bayesian_fd
11,-0.1930111758201253,-0.13179085604432317,-0.2558016021793412,labor_share,bayesian_fd
12,-0.18720198293819068,-0.1248664698432706,-0.2539407305118443,labor_share,bayesian_fd
13,-0.17563300848217683,-0.11373426365790103,-0.24745851844133995,labor_share,bayesian_fd
14,-0.16172308373290772,-0.09858177568476759,-0.23887084786613116,labor_share,bayesian_fd
15,-0.14491069723970668,-0.08219101153729641,-0.22396242613055048,labor_share,bayesian_fd
16,-0.12797334249284414,-0.06224263095307159,-0.2038108775290138,labor_share,bayesian_fd
17,-0.11072234619068755,-0.043655533216854205,-0.18495886950234905,labor_share,bayesian_fd
18,-0.09251946444366987,-0.025070975966322316,-0.16609115299767208,labor_share,bayesian_fd
19,-0.07462792908499656,-0.008766004597170671,-0.14758651016355773,labor_share,bayesian_fd
20,-0.058555862579491594,0.008459897506690954,-0.131433447197485,labor_share,bayesian_fd
21,-0.04239894167681032,0.023213319907058758,-0.11359455123271112,labor_share,bayesian_fd
22,-0.028088519752925846,0.036339221215429096,-0.09923486107145885,labor_share,bayesian_fd
23,-0.01780808060507738,0.048143588148287696,-0.08820099833088933,labor_share,bayesian_fd
24,-0.007786943793496136,0.05656568347067594,-0.07592113262833837,labor_share,bayesian_fd
25,-2.0594299640335563e-4,0.06454972972327962,-0.06575712293265691,labor_share,bayesian_fd
26,0.007403894442512671,0.06856406346804902,-0.05830693140825998,labor_share,bayesian_fd
27,0.012390953746812308,0.07279770525408914,-0.052297055741160434,labor_share,bayesian_fd
28,0.01648156162092046,0.07570162373785894,-0.0470175082108767,labor_share,bayesian_fd
29,0.017159904324453537,0.07753619180733351,-0.04448034456647939,labor_share,bayesian_fd
30,0.017919043815102023,0.07741153447739155,-0.04340440687978604,labor_share,bayesian_fd
31,0.018115503928758978,0.07615337253924366,-0.042805740039005155,labor_share,bayesian_fd
32,0.016841399635215335,0.07275050640600762,-0.041715871600395825,labor_share,bayesian_fd
33,0.014594134086486821,0.06966979508474071,-0.042018852315523714,labor_share,bayesian_fd
34,0.01237514071012933,0.06577897551455777,-0.04311646473955416,labor_share,bayesian_fd
35,0.008999906080510874,0.0603754429425572,-0.045458672971420394,labor_share,bayesian_fd
36,0.007249393907937256,0.05580784286511578,-0.04752847785532571,labor_share,bayesian_fd
37,0.0038166667948533834,0.051884848658651825,-0.04876874600101659,labor_share,bayesian_fd
38,-4.575187061690233e-4,0.04854289910111051,-0.05091399020537009,labor_share,bayesian_fd
39,-0.0040562150278627635,0.045664291475195504,-0.053573478100310226,labor_share,bayesian_fd
